"Sequence No." "V" "D" "air density" "Humidity" "I" "S_a" "S_b" "y (% relative to rated power)"
"1" 6.873766 174.0575 1.21933131059814 50.082808 0.0219192361217999 0.110258472893068 0.135261394093003 11.6533333333333
"2" 7.096613 176.4439 1.21914362402566 48.541693 0.0377370444182316 0.0615535215385829 0.156136274455774 30.55
"3" 8.101572 176.3133 1.21839687270481 46.252931 0.0490633299315244 0.152517032274499 0.223355279474004 43.85
"4" 8.762237 181.0317 1.21951365355749 47.099364 0.0941657706816193 0.254332224635757 0.256441169042058 51.66
"5" 9.901171 183.5434 1.21687670581797 44.129409 0.0277351739506367 0.0735375578729843 0.31164212665571 46.4066666666667
"6" 9.641467 181.946 1.21578240554945 42.884456 0.0358996198400098 0.0552867468604248 0.152275385238982 37.14
"7" 9.107639 185.0804 1.21607139002858 43.49999 0.0292568249575988 0.0489356416653286 0.0961880314087915 30.0066666666667
"8" 8.508179 188.803 1.21745863210644 42.688469 0.0468426204949379 0.0285576227181053 0.0868810827672636 19.1233333333333
"9" 7.309227 189.7594 1.2189115522065 43.417668 0.0579475914484528 0.190897316733834 0.0775823193464714 17.5833333333333
"10" 7.118426 204.9866 1.22029123985618 47.773218 0.0431504380322279 0.270322763937095 0.145519165704574 14.99
"11" 6.696615 221.291 1.22107829000804 51.098846 0.0429496842807896 0.170180536131563 0.2593378793347 8.85
"12" 5.796519 216.7687 1.21909262281143 46.871638 0.0525097390347552 0.270639452321211 0.192032505062721 6.25
"13" 5.015448 216.563 1.2193486132332 46.604437 0.057257437421343 0.479920143465826 0.252590501942005 8.96333333333333
"14" 5.556975 218.5035 1.21960813709927 45.656639 0.0445462504330144 0.344388484182631 0.289935529771632 9.41666666666667
"15" 5.538659 223.5702 1.22053224975947 47.316974 0.0621533479493863 0.568301648804887 0.307218419723931 11.92
"16" 6.204761 227.9562 1.22016859821847 45.833583 0.0342512950942027 0.441719686768128 0.42811340772093 12.99
"17" 6.736039 231.9973 1.22179132204301 46.969037 0.0470862921072755 0.421459106335678 0.399926480466737 14.9333333333333
"18" 6.984724 231.1084 1.22057830649002 45.588201 0.0286108942887364 0.305849390990896 0.429101921031559 42.9366666666667
"19" 12.11124 245.2211 1.23448660792862 71.012341 0.0478789867924341 0.156698309839431 0.181428319531628 87.8633333333333
"20" 10.48605 244.0362 1.23901481534495 75.312745 0.0303591724243161 0.355466190429581 0.240377901873248 64.6833333333333
"21" 9.375619 238.0139 1.24346611800913 80.654975 0.0392854061155855 0.305703263109624 0.208093552807187 49.6133333333333
"22" 9.278471 237.5242 1.2415734175369 70.825281 0.0241651345356363 0.382887717714764 0.246495915504884 35.39
"23" 8.876644 237.8398 1.24107516726659 69.235169 0.0419278164135004 0.41146298503751 0.28574010431527 26.9166666666667
"24" 8.236012 244.3578 1.23826521146982 52.651465 0.0372167621902445 0.35840667559981 0.3602382770463 19.3366666666667
"25" 7.061006 239.5294 1.23931087927394 57.318652 0.0409150480823837 0.569496943691529 0.399208408581332 15.19
"26" 6.468924 239.0691 1.24005520262128 57.728478 0.0403008599266277 0.605075754407306 0.451473471196805 12.76
"27" 5.203362 233.0765 1.24171342019396 61.182846 0.0783012790576554 0.77273252590413 0.542755479123445 3.60333333333333
"28" 4.586836 221.006 1.24252725298365 64.102614 0.0374755277930146 0.850030219910871 0.30068763573981 3.34333333333333
"29" 4.28596 219.5588 1.24209647160407 62.515874 0.0561996612194234 0.826412933212451 0.134674172290427 2.7
"30" 4.203503 216.4283 1.24215103977826 62.353013 0.055188779453708 0.793356650350272 0.152772662970786 3.01666666666667
"31" 4.630832 223.28 1.24105076118706 58.74392 0.0367302895030526 0.659354990780918 0.269434339201503 1.45333333333333
"32" 4.424104 69.78619 1.2357436812267 74.42525 0.0621636155027097 0.247426247790358 0.00174218040354013 1.71666666666667
"33" 4.425403 227.5507 1.23463056382137 99.605596 0.0714364092942496 0.549742805169396 0.219767970747915 2.48666666666667
"34" 4.57115 225.1148 1.23460870222966 99.367951 0.111475164892861 0.601715504187562 0.205606052808838 4.45666666666667
"35" 4.723601 218.7012 1.2342591588986 98.541158 0.0930562297704654 0.499737085675457 0.154869025726494 1.83666666666667
"36" 5.974905 221.3731 1.22997293400521 78.692528 0.0559284540925755 0.173819745070263 0.284462027871546 10.6466666666667
"37" 5.871196 214.5222 1.22992687363716 80.20964 0.0817752975713977 0.471482554002207 0.215587604176506 19.4466666666667
"38" 7.282249 211.5349 1.23047123500966 83.590413 0.065691629055804 0.383038961540317 0.195341773410715 33.4533333333333
"39" 8.700102 210.0105 1.23029929828327 82.945719 0.0484699604671302 0.346955891085678 0.201835473467346 40.64
"40" 9.120406 206.1116 1.22997088775161 82.523395 0.0399458861809441 0.28595523247104 0.182665090785415 42.4666666666667
"41" 9.163471 200.6159 1.2302540333098 87.262986 0.0363066680737026 0.412071148307025 0.166379962342428 43.23
"42" 9.630207 199.9286 1.23003511901593 87.779533 0.0507216823065174 0.403070355619047 0.19003495632784 56.4166666666667
"43" 10.33891 200.1902 1.22925331621813 84.989101 0.0265472569158644 0.340503554751212 0.204123796755317 60
"44" 10.71628 200.7097 1.22919934869438 84.564594 0.0330600357586775 0.301008571339789 0.192568390052388 59.5033333333333
"45" 10.11728 196.6917 1.22916057653038 84.48108 0.0340093977828033 0.27516338037091 0.183847282462393 47.56
"46" 9.431788 193.4737 1.22940372761152 84.644339 0.0275476293572332 0.274643149516158 0.204604216625653 39.4466666666667
"47" 8.556777 191.0351 1.22994290116633 86.044017 0.0414777316272237 0.251936618597979 0.196235667317928 26.8733333333333
"48" 7.627089 187.2035 1.23009005626559 86.833917 0.0330840901423859 0.250700977544311 0.200319343600673 26.2733333333333
"49" 8.142039 187.0788 1.22982126833843 88.110609 0.0290626340650051 0.203605208638025 0.176748800152322 27.8933333333333
"50" 7.957702 184.9484 1.23037474287236 89.295654 0.039830644575532 0.23763824014506 0.203716558288804 32.6066666666667
"51" 8.583787 183.8273 1.22973547747951 89.264312 0.0640301885403261 0.270955642780396 0.152769305461094 40.9466666666667
"52" 9.735295 179.8345 1.23000371204646 88.104063 0.100913223482185 0.295117746791306 0.179908615325931 66.1533333333333
"53" 11.43375 178.6175 1.2289264399309 86.978127 0.0447506461134798 0.232217089949958 0.183355216151577 72.1633333333333
"54" 10.76649 172.2374 1.23092020060491 89.003061 0.0875306529797548 0.0560641029491442 0.0781554748969836 47.8433333333333
"55" 7.978072 176.1887 1.22816795868429 73.344347 0.0510783432388176 0.167523703288734 0.121698941000658 38.3733333333333
"56" 9.229295 186.4477 1.22762408778965 82.424607 0.0748359977658098 0.275728617025673 0.219766181325491 45.4033333333333
"57" 9.439519 199.5285 1.22843856785665 85.416384 0.0656301873008572 0.196729284447356 0.11078460658777 40.0833333333333
"58" 8.919805 202.5444 1.2285972371021 84.954189 0.0491516910963861 0.229753829987744 0.151649958753137 37.08
"59" 8.79446 201.184 1.22865397976551 85.190641 0.043984963260962 0.278375561328561 0.15653525835876 42.9166666666667
"60" 9.358939 199.8794 1.22856406476579 84.778235 0.0417305743738687 0.328765461026932 0.169418647284568 48.06
"61" 9.569211 197.1752 1.22774302433977 82.319275 0.0366122452519858 0.299323613172923 0.205878943343815 49.43
"62" 9.730291 194.7595 1.22784717599392 82.045132 0.0617627468695438 0.243125492594014 0.187857022352919 58.6466666666667
"63" 14.2012 203.8111 1.23344153331229 84.505482 0.0786165957806382 0.113001123874623 0.0867708565619759 93.66
"64" 12.89996 200.9224 1.23163220469705 80.834497 0.0622303790089272 0.2546693188541 0.116726666864113 91.48
